1;Body;0.8;0.45;0.02;0.03;0.05;0;0.8;0;0;0
1;SubcutaneousFat;0.2;0.1;0.22;0.21;0.05;0.33;0.4;0;0;0
1;Muscle;0.8;0.25;0;0;0.15;0.5;0.96;0;0;0
1;InterspinousLigament;0.8;0.25;0;0;0.25;0.6;0.995;0;0.6;0.4
1;LigamentumFlavum;0.9;0.6;0;0;0.2;0.7;0.997;0;10;50
1;EpiduralSpace;0.2;0.1;0.22;0.21;0.05;0.33;0.4;0;0;0
1;DuraMater;0.2;0.1;0.22;0.21;0.05;0.4;0.4;0;0;0
2;Body;0.800;0.450;0.600;0.030;0.305;0.000;0.800;0.000;0.000;0.000
2;SubcutaneousFat;0.200;0.100;0.220;0.210;0.407;0.330;0.400;0.000;0.000;0.000
2;Muscle;0.800;0.705;0.000;0.000;0.150;0.500;0.960;0.000;0.000;0.000
2;InterspinousLigament;0.800;0.750;0.000;0.000;0.250;0.600;0.995;0.000;0.600;0.400
2;LigamentumFlavum;0.900;0.600;0.523;0.000;0.200;0.700;0.997;0.000;10.000;50.000
2;EpiduralSpace;0.659;0.100;0.220;0.210;0.050;0.330;0.400;0.000;0.000;0.000
2;DuraMater;0.200;0.100;0.220;0.210;0.918;0.400;0.400;0.000;0.000;0.000
